,latitude,longitude,time,distance,station
0,45.92273684210526,7.149684210526316,61980,1.3559915582115802,"Luis Bossevendes, Bourg-St-Pierre"
1,46.02747368421053,7.149684210526316,13980,1.2873810719239325,"Orsières, La Place"
2,46.02747368421053,7.865894736842106,37140,0.8608070571200114,"633084,97415"
3,46.13221052631579,6.910947368421053,15660,1.4252583692008411,Champéry
4,46.13221052631579,7.149684210526316,14820,1.2238980982677172,"Les Afforés, Saxon"
5,46.13221052631579,7.38842105263158,13560,1.0385000002245615,"Rte d'Orchère 19, Hérémence"
6,46.13221052631579,7.627157894736843,12780,0.8792203964571578,"Rte des Doberts 3, Zinal"
7,46.13221052631579,8.820842105263159,18300,0.9775572486035897,"Cantonasc, Piazzogna"
8,46.13221052631579,9.059578947368422,37320,1.155035837850068,Camoghè
9,46.23694736842105,6.1947368421052635,12300,2.0440463574005765,"Rte de Thonon 29, Vésenaz"
10,46.23694736842105,6.910947368421053,17160,1.3761822414784777,"Le Lésa, Morgins"
11,46.23694736842105,7.149684210526316,27240,1.1663801686101412,Col de la Forcle
12,46.23694736842105,7.38842105263158,10860,0.9700507168442793,"Av. du Grand-Champsec 92, Sion"
13,46.23694736842105,7.627157894736843,18240,0.7972105420338896,"Plan de la Caille, St-Luc"
14,46.23694736842105,7.865894736842106,10140,0.6663943749512165,"Ze Stricku, Törbel"
15,46.23694736842105,8.582105263157896,22440,0.7440667068330001,"La Camána, Vergeletto"
16,46.23694736842105,8.820842105263159,27900,0.9045077761308119,"Corgell, Corippo"
17,46.23694736842105,9.059578947368422,17160,1.0939030713466777,"Scengo, Lumino"
18,46.34168421052632,6.1947368421052635,12300,2.0155845966306174,"Av. de Bossey, Founex"
19,46.34168421052632,6.910947368421053,13620,1.3335416441689294,"Rte des Barges, Vouvry"
20,46.34168421052632,7.149684210526316,17460,1.115750174859527,"Rte du Col de la Croix, Les Diablerets"
21,46.34168421052632,7.38842105263158,21300,0.9085450722017837,"Les Audannes, Anzère"
22,46.34168421052632,7.627157894736843,12060,0.7211105347323752,"Lüübe, Albinen"
23,46.34168421052632,7.865894736842106,24420,0.5731816622491219,Roti Chüe
24,46.34168421052632,8.10463157894737,28020,0.5010634611824211,Letihorn
25,46.34168421052632,8.582105263157896,20820,0.6618844454958507,"Bosco di Cranzünell, Bignasco"
26,46.34168421052632,8.820842105263159,23100,0.8382064614718446,"Brüsee, Frasco"
27,46.34168421052632,9.537052631578948,20400,1.4764926643858662,"Sot Funtäna, Soglio"
28,46.34168421052632,10.014526315789475,36420,1.9326002508858258,Motta Rossa GR
29,46.44642105263158,6.1947368421052635,13200,1.9922290614623175,"Descente, Arzier-Le Muids"
30,46.44642105263158,6.433473684210527,15480,1.7588547667817718,"522764,144394"
31,46.44642105263158,6.910947368421053,12900,1.2979709873079555,"Rte de Chaulin 14, Chernex"
32,46.44642105263158,7.149684210526316,23100,1.0729836065194485,"Rocher du Midi, Château-d'Oex"
33,46.44642105263158,7.38842105263158,21480,0.855482036855574,Laaglehore
34,46.44642105263158,7.627157894736843,18180,0.6529898701070557,"Inner Ueschene 29a, Kandersteg"
35,46.44642105263158,7.865894736842106,17280,0.4846984475930203,"Gugginburst, Blatten (Lötschen)"
36,46.44642105263158,8.10463157894737,17520,0.39681224690340006,"Märjelewang, Fieschertal"
37,46.44642105263158,8.582105263157896,33240,0.586929626403172,"Pista per Piatto della Froda, Piano di Peccia"
38,46.44642105263158,8.820842105263159,20460,0.7803751913109285,"Raslumo, Chironico"
39,46.44642105263158,9.537052631578948,16140,1.4444465913095201,"Hasaturtschi, Avers"
40,46.44642105263158,10.014526315789475,18540,1.9082293093033589,"Plaun Verd, Pontresina"
41,46.55115789473684,6.1947368421052635,17820,1.974160989555768,"Chalet Neuf, Le Brassus"
42,46.55115789473684,6.433473684210527,11160,1.738362755577714,"Sous le Collège, Apples"
43,46.55115789473684,6.67221052631579,10440,1.5034922968982791,"Rte du Village 12, Epalinges"
44,46.55115789473684,6.910947368421053,11160,1.2700644327127544,"Rte de Bulle 200a, Châtel-St-Denis"
45,46.55115789473684,7.38842105263158,11040,0.8125173811872235,"Schlattstr. 3d, Zweisimmen"
46,46.55115789473684,7.627157894736843,15300,0.5955927717922805,"Wegscheidi, Achseten"
47,46.55115789473684,7.865894736842106,15120,0.4040638123463495,"Häfen, Gimmelwald"
48,46.55115789473684,8.343368421052633,24480,0.3497325726773742,"Mässweide, Oberwald"
49,46.55115789473684,8.582105263157896,25140,0.5223230472595951,"Suréscia 12, Airolo"
50,46.55115789473684,9.298315789473685,14460,1.1867140358824078,"Uf der Egga, Medels im Rheinwald"
51,46.55115789473684,9.775789473684211,28140,1.653850726512348,"Via da Tegia d'Val, Samedan"
52,46.65589473684211,6.433473684210527,13380,1.7240010619245243,"Le Bois de Chêne, Mont-la-Ville"
53,46.65589473684211,6.67221052631579,11280,1.486863705377735,"Ch. du Battoir 4, Sugnens"
54,46.65589473684211,6.910947368421053,8160,1.2503352569527562,"Rte des Chaffaz 12b, Villaraboud"
55,46.65589473684211,7.149684210526316,17400,1.014841559429554,"Le Scheptze 186a, Hauteville"
56,46.65589473684211,7.38842105263158,14340,0.7813188121813579,"Bunfahltürli 122a, Oberwil im Simmental"
57,46.65589473684211,7.627157894736843,11520,0.5522728866677739,"Seitenwald, Wimmis"
58,46.65589473684211,7.865894736842106,8760,0.3369601697308009,"Bodenacher, Wilderswil"
59,46.65589473684211,8.10463157894737,13560,0.18991979933237935,Schlafhubel
